epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,3184.03,1.29331,2.10368,1.51502,0.01451,0.4411,0.5511,0.26001,0.26592,0.15456,0.574,0.26071,0.265,0.13248,1.83924,3.60687,2.99805,0.02911,0,0.00018815,0.00018815,0.00018815
65,3232.04,1.26512,2.10991,1.43479,0.01275,0.42988,0.49648,0.27844,0.26892,0.15909,0.49802,0.27817,0.26294,0.13429,1.82061,3.45154,2.97421,0.02808,0,0.0001832,0.0001832,0.0001832
66,3280.97,1.19451,2.10146,1.48494,0.0131,0.42871,0.49588,0.28803,0.27328,0.15918,0.50031,0.29183,0.27162,0.13683,1.81504,3.52069,2.98715,0.02865,0,0.00017825,0.00017825,0.00017825
67,3329.49,1.23744,2.12855,1.37732,0.01244,0.37889,0.49182,0.2874,0.27577,0.16474,0.50208,0.28248,0.26826,0.13771,1.80167,3.49891,3.00406,0.02835,0,0.0001733,0.0001733,0.0001733
68,3376.95,1.17625,1.99889,1.43531,0.01158,0.3879,0.50843,0.28334,0.26993,0.1591,0.5178,0.2868,0.25989,0.12999,1.80591,3.56848,2.99235,0.0286,0,0.00016835,0.00016835,0.00016835
69,3424.91,1.16119,1.94099,1.31942,0.0115,0.39019,0.46382,0.30642,0.27949,0.1616,0.47254,0.2991,0.26975,0.13519,1.82584,3.6333,3.05509,0.02897,0,0.0001634,0.0001634,0.0001634
70,3473.45,1.22193,2.07207,1.36034,0.01185,0.34665,0.49204,0.30107,0.2656,0.15194,0.48736,0.30605,0.26071,0.12618,1.84194,3.55036,3.05265,0.02915,0,0.00015845,0.00015845,0.00015845
71,3523.3,1.17826,2.0193,1.34534,0.01135,0.41345,0.50875,0.30017,0.26935,0.15889,0.491,0.29606,0.26059,0.12689,1.84175,3.65899,3.08583,0.02913,0,0.0001535,0.0001535,0.0001535
72,3572.3,1.1672,1.98102,1.22314,0.01264,0.35949,0.50243,0.29456,0.26746,0.15577,0.53299,0.29252,0.26845,0.12814,1.81544,3.6313,3.09567,0.02866,0,0.00014855,0.00014855,0.00014855
73,3622.42,1.15483,2.00921,1.36625,0.01225,0.401,0.50606,0.27883,0.2627,0.1536,0.52488,0.27927,0.26435,0.12819,1.81073,3.51267,3.03394,0.02834,0,0.0001436,0.0001436,0.0001436
74,3672.47,1.19705,2.05946,1.37706,0.01081,0.39202,0.46512,0.29923,0.26942,0.15783,0.46168,0.2989,0.2589,0.1269,1.82014,3.58264,2.99672,0.02861,0,0.00013865,0.00013865,0.00013865
75,3722.19,1.21248,2.07745,1.43409,0.01184,0.43167,0.52402,0.27257,0.27073,0.15267,0.53415,0.27634,0.26299,0.12704,1.83201,3.54877,3.01855,0.02909,0,0.0001337,0.0001337,0.0001337
76,3771.38,1.16972,2.04323,1.35521,0.01211,0.40175,0.47849,0.27897,0.26292,0.14503,0.57871,0.24163,0.24945,0.12414,1.8388,3.57726,3.10312,0.02929,0,0.00012875,0.00012875,0.00012875
77,3821.25,1.17369,1.98615,1.26088,0.01176,0.3802,0.48868,0.30289,0.26671,0.14782,0.50744,0.29821,0.26416,0.12729,1.83291,3.51705,3.02458,0.02881,0,0.0001238,0.0001238,0.0001238
78,3870.68,1.10691,1.83962,1.2119,0.01053,0.31407,0.46852,0.30081,0.26074,0.15465,0.50203,0.3002,0.26366,0.1287,1.8131,3.53994,3.03853,0.02846,0,0.00011885,0.00011885,0.00011885
79,3921.35,1.15303,1.91573,1.37966,0.01122,0.36131,0.48871,0.29013,0.27128,0.15689,0.49608,0.29773,0.26429,0.13496,1.79442,3.56771,3.1136,0.02827,0,0.0001139,0.0001139,0.0001139
80,3971.53,1.1652,1.9476,1.30182,0.01202,0.3939,0.48299,0.3032,0.27454,0.16424,0.50274,0.30292,0.27046,0.14253,1.84282,3.54088,2.94556,0.02911,0,0.00010895,0.00010895,0.00010895
81,4022.66,1.15756,1.96202,1.33988,0.01078,0.41963,0.45814,0.29668,0.26372,0.16012,0.46442,0.29624,0.25644,0.13174,1.78465,3.56613,3.04159,0.02794,0,0.000104,0.000104,0.000104
82,4073.18,1.14721,2.02468,1.4113,0.01134,0.37955,0.45901,0.29188,0.26523,0.15717,0.49831,0.28906,0.26377,0.13239,1.81696,3.55271,3.03698,0.02855,0,9.905e-05,9.905e-05,9.905e-05
83,4123.42,1.13109,1.92179,1.21793,0.01094,0.34887,0.53385,0.25882,0.26025,0.15152,0.5577,0.2651,0.26021,0.12849,1.81108,3.55103,3.03394,0.02819,0,9.41e-05,9.41e-05,9.41e-05
